Size, InsertionSort, Quicksort, ShellSort
10, 24, 20, 14
20, 77, 78, 33
40, 337, 178, 119
80, 1630, 434, 296
160, 5940, 1465, 864
320, 25837, 2792, 2583
640, 100033, 6745, 8239
1280, 419037, 13581, 16930
2560, 1627730, 32001, 69910
5120, 6618079, 72038, 174078
10, 19, 23, 9
20, 97, 68, 37
40, 321, 189, 93
80, 1408, 414, 322
160, 5932, 1250, 742
320, 26498, 2617, 2571
640, 103925, 7494, 6327
1280, 405097, 14827, 23922
2560, 1616985, 33611, 49920
5120, 6461146, 73396, 174004
