Size, InsertionSort, Quicksort, ShellSort
10, 33, 32, 36
20, 96, 100, 95
40, 376, 248, 281
80, 1709, 614, 698
160, 6099, 1334, 1826
320, 26156, 2896, 4825
640, 100672, 7480, 13361
1280, 420316, 15632, 28452
2560, 1630289, 38450, 95512
5120, 6623198, 75310, 230400
10, 28, 50, 31
20, 116, 106, 99
40, 360, 288, 255
80, 1487, 594, 724
160, 6091, 1538, 1704
320, 26817, 3150, 4813
640, 104564, 9830, 11449
1280, 406376, 13910, 35444
2560, 1619544, 35594, 75522
5120, 6466265, 77644, 230326
